#SampleID	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	host_body_site_s	miscellaneous_parameter_s	disease	day	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	host_common_name_s	host_diet_s	host_sex_s	host_taxid_s	investigation_type_s	library_construction_method_s	nucleic_acid_extraction_s	project_name_s	sample_storage_temperature_s	sequencing_method_s
ERR537665	SAMEA2603617	ERX502868	10	6	ERR537665	ERS481577	Lund Chronic Parasite 2014_28	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537678	SAMEA2603630	ERX502881	11	7	ERR537678	ERS481590	Lund Chronic Parasite 2014_41	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537680	SAMEA2603632	ERX502883	8	5	ERR537680	ERS481592	Lund Chronic Parasite 2014_43	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537681	SAMEA2603633	ERX502884	14	9	ERR537681	ERS481593	Lund Chronic Parasite 2014_44	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537663	SAMEA2603615	ERX502866	14	9	ERR537663	ERS481575	Lund Chronic Parasite 2014_26	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537664	SAMEA2603616	ERX502867	14	9	ERR537664	ERS481576	Lund Chronic Parasite 2014_27	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537669	SAMEA2603621	ERX502872	14	9	ERR537669	ERS481581	Lund Chronic Parasite 2014_32	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537671	SAMEA2603623	ERX502874	12	8	ERR537671	ERS481583	Lund Chronic Parasite 2014_34	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537672	SAMEA2603624	ERX502875	14	10	ERR537672	ERS481584	Lund Chronic Parasite 2014_35	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537674	SAMEA2603626	ERX502877	12	8	ERR537674	ERS481586	Lund Chronic Parasite 2014_37	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537676	SAMEA2603628	ERX502879	14	9	ERR537676	ERS481588	Lund Chronic Parasite 2014_39	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537684	SAMEA2603636	ERX502887	12	8	ERR537684	ERS481596	Lund Chronic Parasite 2014_47	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537685	SAMEA2603637	ERX502888	14	9	ERR537685	ERS481597	Lund Chronic Parasite 2014_48	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537687	SAMEA2603639	ERX502890	11	7	ERR537687	ERS481599	Lund Chronic Parasite 2014_50	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537690	SAMEA2603642	ERX502893	16	10	ERR537690	ERS481602	Lund Chronic Parasite 2014_53	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537691	SAMEA2603643	ERX502894	25	17	ERR537691	ERS481603	Lund Chronic Parasite 2014_54	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537692	SAMEA2603644	ERX502895	14	9	ERR537692	ERS481604	Lund Chronic Parasite 2014_55	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537695	SAMEA2603647	ERX502898	7	5	ERR537695	ERS481607	Lund Chronic Parasite 2014_58	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537696	SAMEA2603648	ERX502899	10	6	ERR537696	ERS481608	Lund Chronic Parasite 2014_59	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537697	SAMEA2603649	ERX502900	14	9	ERR537697	ERS481609	Lund Chronic Parasite 2014_60	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537698	SAMEA2603650	ERX502901	17	11	ERR537698	ERS481610	Lund Chronic Parasite 2014_61	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537699	SAMEA2603651	ERX502902	13	8	ERR537699	ERS481611	Lund Chronic Parasite 2014_62	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537700	SAMEA2603652	ERX502903	12	8	ERR537700	ERS481612	Lund Chronic Parasite 2014_63	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537701	SAMEA2603653	ERX502904	12	8	ERR537701	ERS481613	Lund Chronic Parasite 2014_64	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537702	SAMEA2603654	ERX502905	20	13	ERR537702	ERS481614	Lund Chronic Parasite 2014_65	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537703	SAMEA2603655	ERX502906	11	7	ERR537703	ERS481615	Lund Chronic Parasite 2014_66	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537707	SAMEA2603659	ERX502910	12	8	ERR537707	ERS481619	Lund Chronic Parasite 2014_70	Colon content	Uninfected day 20	Uninfected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537709	SAMEA2603661	ERX502912	14	9	ERR537709	ERS481621	Lund Chronic Parasite 2014_72	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537711	SAMEA2603663	ERX502914	15	10	ERR537711	ERS481623	Lund Chronic Parasite 2014_74	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537713	SAMEA2603665	ERX502916	13	9	ERR537713	ERS481625	Lund Chronic Parasite 2014_76	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537714	SAMEA2603666	ERX502917	30	20	ERR537714	ERS481626	Lund Chronic Parasite 2014_77	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537715	SAMEA2603667	ERX502918	11	7	ERR537715	ERS481627	Lund Chronic Parasite 2014_78	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537716	SAMEA2603668	ERX502919	17	11	ERR537716	ERS481628	Lund Chronic Parasite 2014_79	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537717	SAMEA2603669	ERX502920	22	14	ERR537717	ERS481629	Lund Chronic Parasite 2014_80	Colon content	Infected day 20	Infected	20	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537720	SAMEA2603672	ERX502923	15	10	ERR537720	ERS481632	Lund Chronic Parasite 2014_83	Colon content	Uninfected day 27	Uninfected	27	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
